Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,1,1,1,1,1,4.0,97.0,42.0,87.0,92.0,95.0,100.0,100.0,15.0,12.0,0.0,88.0,2.0,100.0,609.0,715.0,85.0,92.0,89.0,94.0,1.0,16.0,398.0,4.0,4.0,3.0,5.0,0.0,44.0,395.0,11.0,10.0,8.0,13.0,0.0,1.0,318.0
1,1,1,1,0,0,2.0,97.0,50.0,60.0,73.0,64.0,80.0,68.0,10.0,1.0,0.0,89.0,5.0,97.0,42.0,90.0,47.0,53.0,41.0,64.0,-1.0,14.0,18.0,4.0,4.0,3.0,5.0,0.0,8.0,56.0,14.0,11.0,7.0,17.0,0.0,1.0,182.0
1,1,1,1,1,1,3.0,94.0,42.0,87.0,86.0,87.0,82.0,82.0,16.0,10.0,0.0,96.0,2.0,98.0,555.0,720.0,77.0,86.0,83.0,90.0,1.0,14.0,318.0,4.0,4.0,3.0,5.0,0.0,34.0,348.0,10.0,9.0,7.0,12.0,0.0,1.0,318.0
1,1,1,1,1,1,4.0,100.0,65.0,92.0,89.0,92.0,92.0,90.0,17.0,9.0,0.0,97.0,1.0,100.0,640.0,959.0,67.0,73.0,70.0,76.0,-1.0,13.0,348.0,4.0,4.0,3.0,5.0,0.0,72.0,607.0,12.0,11.0,9.0,13.0,0.0,1.0,318.0
1,1,1,1,1,1,4.0,100.0,66.0,90.0,89.0,92.0,92.0,85.0,18.0,12.0,0.0,100.0,1.0,100.0,465.0,568.0,82.0,89.0,86.0,92.0,1.0,12.0,292.0,4.0,4.0,3.0,5.0,0.0,31.0,299.0,10.0,10.0,8.0,13.0,0.0,1.0,801.0
1,1,1,1,1,1,4.0,100.0,78.0,89.0,92.0,93.0,94.0,86.0,16.0,11.0,0.0,100.0,1.0,99.0,238.0,226.0,76.0,80.0,78.0,83.0,1.0,29.0,739.0,4.0,4.0,3.0,5.0,0.0,96.0,787.0,12.0,12.0,10.0,14.0,-1.0,1.0,318.0
1,1,1,0,0,1,4.0,99.0,57.0,92.0,90.0,92.0,90.0,90.0,11.0,14.0,0.0,98.0,1.0,98.0,243.0,336.0,72.0,79.0,74.0,84.0,0.0,5.0,124.0,4.0,4.0,3.0,5.0,0.0,18.0,156.0,12.0,10.0,7.0,14.0,0.0,1.0,660.0
1,1,1,1,1,0,4.0,99.0,60.0,89.0,94.0,87.0,89.0,85.0,12.0,14.0,0.0,99.0,1.0,100.0,525.0,652.0,81.0,88.0,84.0,91.0,1.0,12.0,332.0,4.0,4.0,3.0,5.0,0.0,34.0,327.0,10.0,9.0,7.0,12.0,0.0,1.0,318.0
1,1,1,1,1,1,4.0,100.0,75.0,86.0,86.0,87.0,87.0,81.0,16.0,10.0,0.0,99.0,0.0,99.0,238.0,226.0,81.0,86.0,84.0,88.0,1.0,44.0,145.0,4.0,4.0,3.0,5.0,0.0,80.0,874.0,9.0,9.0,7.0,11.0,0.0,1.0,318.0
1,1,1,1,1,1,5.0,100.0,93.0,96.0,93.0,94.0,91.0,98.0,12.0,12.0,0.0,100.0,0.0,100.0,835.0,226.0,76.0,84.0,81.0,86.0,1.0,16.0,457.0,4.0,4.0,3.0,5.0,0.0,91.0,618.0,15.0,12.0,10.0,15.0,-1.0,1.0,318.0
